Sensor,Occupancy,,Sensor,Occupancy,,,Sensor,Occupancy,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,73,77,376,Empty
1,calibrating,,2,calibrating,,,0,calibrating,,,,175,172,329,Occupied
1,calibrating,,2,calibrating,,,0,calibrating,,,,22,27,130,Uncertain
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,1,,2,0,,94,0,1,14:34,2,,,,,
1,1,,2,0,,95,0,1,14:35,2,,,,,
1,1,,2,0,,96,0,1,14:36,2,,,,,
1,1,,2,0,,97,0,1,14:37,2,,,,,
1,1,,2,0,,98,0,1,14:38,2,,,,,
1,1,,2,0,,99,0,1,14:39,2,,,,,
1,1,,2,0,,100,0,1,14:40,2,,,,,
1,1,,2,0,,101,0,1,14:41,2,,,,,
1,1,,2,0,,102,0,1,14:42,2,,,,,
1,1,,2,0,,103,0,1,14:43,2,,,,,
1,1,,2,0,,104,0,1,14:44,2,,,,,
1,1,,2,0,,105,0,1,14:45,2,,,,,
1,1,,2,0,,106,0,1,14:46,2,,,,,
1,1,,2,1,,107,0,1,14:47,3,,,,,
1,1,,2,1,,108,0,1,14:48,3,,,,,
1,1,,2,1,,109,0,1,14:49,3,,,,,
1,1,,2,1,,110,0,1,14:50,3,,,,,
1,1,,2,1,,111,0,1,14:51,3,,,,,
1,1,,2,1,,112,0,1,14:52,3,,,,,
1,1,,2,1,,113,0,1,14:53,3,,,,,
1,1,,2,1,,114,0,1,14:54,3,,,,,
1,1,,2,1,,115,0,1,14:55,3,,,,,
1,1,,2,1,,116,0,1,14:56,3,,,,,
1,1,,2,1,,117,0,1,14:57,3,,,,,
1,1,,2,1,,118,0,1,14:58,3,,,,,
1,1,,2,1,,119,0,1,14:59,3,,,,,
1,1,,2,1,,120,0,1,15:00,3,,,,,
1,1,,2,1,,121,0,1,15:01,3,,,,,
1,1,,2,1,,122,0,1,15:02,3,,,,,
1,1,,2,1,,123,0,1,15:03,3,,,,,
1,1,,2,1,,124,0,1,15:04,3,,,,,
1,1,,2,1,,125,0,1,15:05,3,,,,,
1,1,,2,1,,126,0,1,15:06,3,,,,,
1,1,,2,1,,127,0,1,15:07,3,,,,,
1,1,,2,1,,128,0,1,15:08,3,,,,,
1,1,,2,1,,129,0,1,15:09,3,,,,,
1,1,,2,1,,130,0,1,15:10,3,,,,,
1,1,,2,0,,131,0,1,15:11,2,,,,,
1,1,,2,0,,132,0,1,15:12,2,,,,,
1,1,,2,0,,133,0,1,15:13,2,,,,,
1,1,,2,0,,134,0,1,15:14,2,,,,,
1,1,,2,0,,135,0,1,15:15,2,,,,,
1,1,,2,0,,136,0,1,15:16,2,,,,,
1,1,,2,0,,137,0,1,15:17,2,,,,,
1,1,,2,0,,138,0,1,15:18,2,,,,,
1,1,,2,0,,139,0,1,15:19,2,,,,,
1,1,,2,0,,140,0,1,15:20,2,,,,,
1,1,,2,0,,141,0,1,15:21,2,,,,,
1,1,,2,0,,142,0,1,15:22,2,,,,,
1,1,,2,0,,143,0,1,15:23,2,,,,,
1,1,,2,0,,144,0,1,15:24,2,,,,,
1,1,,2,0,,145,0,1,15:25,2,,,,,
1,1,,2,0,,146,0,1,15:26,2,,,,,
